code,industry,pred_rf,pred_reg
300065,科技,0,0
301583,科技,0,0
001248,公用事业,0,0
301042,科技,0,0
688797,科技,0,0
001399,科技,0,0
002842,周期资源,0,0
603435,科技,0,0
301669,科技,0,3
001237,制造,0,3
688981,科技,0,0
688347,科技,0,0
001365,制造,0,0
001393,公用事业,0,0
300860,消费,0,0
688235,消费,0,0
600400,消费,0,0
000928,公用事业,0,0
688635,科技,0,0
603407,周期资源,0,0
301531,周期资源,0,3
300817,制造,0,0
300152,公用事业,0,0
688216,科技,0,4
002863,制造,0,0
600166,制造,0,0
600085,消费,0,0
689009,制造,0,0
688820,科技,4,0
688819,科技,0,0
688816,制造,0,0
688811,周期资源,3,0
688805,消费,0,0
688802,科技,0,0
688793,制造,0,0
688789,制造,0,0
688776,科技,0,0
688772,科技,0,0
688750,周期资源,0,0
688737,制造,0,0
688733,科技,0,4
688728,科技,0,0
688721,科技,0,0
688711,科技,0,0
688710,消费,0,0
688709,科技,0,0
688699,科技,0,4
688696,制造,0,0
688693,科技,0,0
688681,公用事业,0,3
688679,公用事业,0,0
688678,科技,4,0
688671,公用事业,0,0
688667,制造,0,0
688665,制造,0,0
688658,消费,0,0
688651,科技,0,0
688630,制造,0,0
688627,制造,0,0
688625,周期资源,0,0
688622,制造,0,0
688618,科技,0,0
688615,科技,0,0
688611,公用事业,0,0
688608,科技,0,0
688605,科技,0,0
688601,科技,0,0
688599,科技,0,4
688595,科技,0,0
688590,科技,0,0
688586,科技,0,0
688585,周期资源,0,0
688584,科技,0,0
688579,科技,0,0
688576,消费,0,0
688573,科技,0,0
688570,制造,0,0
688567,科技,0,0
688562,科技,0,0
688561,科技,0,0
688559,制造,0,0
688558,制造,0,3
688557,制造,0,0
688556,科技,0,0
688529,制造,0,0
688521,科技,0,0
688520,消费,0,0
688518,制造,0,4
688511,科技,0,0
688505,消费,0,0
688502,科技,0,0
688500,科技,0,0
688499,科技,0,4
688489,科技,0,0
688488,消费,0,0
688484,科技,0,0
688478,科技,0,0
688458,科技,4,3
688443,消费,0,0
688439,科技,0,0
688426,消费,0,0
688418,科技,0,0
688410,消费,0,0
688409,科技,0,4
688408,科技,0,0
688403,科技,0,0
688401,科技,0,0
688399,消费,0,0
688391,科技,0,4
688386,周期资源,0,0
688385,科技,0,0
688379,制造,0,0
688375,科技,0,0
688371,科技,0,0
688360,制造,0,0
688357,周期资源,0,0
688353,科技,0,0
688351,消费,0,0
688348,科技,0,4
688343,科技,0,0
688339,科技,0,0
688333,制造,0,0
688330,公用事业,0,0
688325,科技,0,0
688323,周期资源,0,0
688321,消费,0,0
688319,消费,0,0
688318,科技,0,0
688317,消费,0,0
688316,科技,0,0
688307,科技,0,4
688306,制造,0,0
688305,制造,0,0
688303,科技,0,0
688293,消费,0,0
688289,消费,0,0
688286,科技,0,0
688282,科技,0,0
688275,科技,0,0
688272,科技,0,0
688265,消费,0,0
688261,科技,0,0
688257,制造,0,0
688256,科技,0,0
688248,公用事业,0,0
688247,消费,0,0
688239,科技,0,4
688237,科技,0,4
688236,消费,0,0
688223,科技,0,0
688220,科技,0,4
688219,周期资源,0,3
688218,制造,0,0
688213,科技,0,0
688212,消费,0,0
688211,制造,0,0
688206,科技,0,0
688202,消费,0,0
688192,消费,0,0
688190,周期资源,0,0
688189,消费,0,0
688188,科技,0,0
688182,科技,0,0
688176,消费,0,0
688173,科技,0,0
688171,科技,0,0
688166,消费,0,0
688165,制造,0,0
688161,消费,0,0
688159,科技,0,0
688155,科技,0,4
688152,科技,0,0
688150,科技,0,0
688141,科技,0,0
688139,消费,0,0
688133,周期资源,0,0
688131,消费,0,0
688129,周期资源,0,0
688127,科技,0,0
688126,科技,0,0
688116,科技,0,0
688110,科技,0,0
688106,科技,0,0
688092,制造,0,0
688079,科技,0,0
688076,消费,0,0
688075,消费,0,0
688073,消费,0,0
688071,制造,0,0
688070,科技,0,0
688066,科技,0,3
688065,周期资源,0,0
688061,科技,0,3
688057,公用事业,0,0
688053,科技,0,0
